KOR,"Korea, Rep.",51780579,31489.1226973168
XKX,Kosovo,1775378,4287.20090326802
KWT,Kuwait,4270563,32373.2511149607
KGZ,Kyrgyz Republic,6591600,1173.61135576213
LAO,Lao PDR,7275556,2630.20377393196
LTE,Late-demographic dividend,2307887395,9754.88854904734
LCN,Latin America & Caribbean,652276325,7202.58110229825
LAC,Latin America & Caribbean (excluding high income),595242966,6733.11238457867
TLA,Latin America & the Caribbean (IDA & IBRD countries),636492840,7026.63594320428
LVA,Latvia,1901548,17619.9523907399
LDC,Least developed countries: UN classification,1057438163,1071.13632518774
LBN,Lebanon,6825442,4891.00147031944
LSO,Lesotho,2142252,861.014548091526
LBR,Liberia,5057677,583.271727316711
LBY,Libya,6871287,3699.22862081017
LIE,Liechtenstein,38137,180366.715197575
LTU,Lithuania,2794700,19997.5925262112
LMY,Low & middle income,6509474374,4745.25125072794
LIC,Low income,665149035,689.089597253721
LMC,Lower middle income,3330652547,2200.40175761132
LUX,Luxembourg,632275,115873.602630203
MAC,"Macao SAR, China",649342,86117.6554287201
MDG,Madagascar,27691019,495.490400891458
MWI,Malawi,19129955,625.29412916014
MYS,Malaysia,32365998,10401.7940137994
MDV,Maldives,540542,7455.85572772295
MLI,Mali,20250834,858.915805496235
MLT,Malta,525285,27884.6428274251
MHL,Marshall Islands,59194,4073.10982973584
MRT,Mauritania,4649660,1672.9235348238
MUS,Mauritius,1265740,8622.67551491013
MEX,Mexico,128932753,8346.70237883571
FSM,"Micronesia, Fed. Sts.",115021,3585.42320162374
MEA,Middle East & North Africa,464554123,6535.9426554228
TMN,Middle East & North Africa (IDA & IBRD countries),391344574,2938.37802391637
MNA,Middle East & North Africa (excluding high income),396147843,2942.09423997253
MIC,Middle income,5844325339,5207.28902381668
MDA,Moldova,2617820,4551.13067562421
MCO,Monaco,39244,190512.737442436
MNG,Mongolia,3278292,4007.30888507766
MNE,Montenegro,621718,7686.09294918651
MAR,Morocco,36910558,3009.24945958152
MOZ,Mozambique,31255435,448.607453580724
MMR,Myanmar,54409794,1400.21824189956
NAM,Namibia,2540916,4211.05092913395
NRU,Nauru,10834,10983.2246492424
NPL,Nepal,29136808,1155.14285440358
NLD,Netherlands,17441139,52397.1167129558
NCL,New Caledonia,271960,12579.5951055864
NZL,New Zealand,5084300,41477.9449223163
NIC,Nicaragua,6624554,1905.25675597599
NER,Niger,24206636,565.06133311838
NGA,Nigeria,206139587,2097.09247289022
NAC,North America,367553264,61454.8467705257
MKD,North Macedonia,2083380,5888.00401517897
MNP,Northern Mariana Islands,57557,20659.6402915421
NOR,Norway,5379475,67389.912047247
OED,OECD members,1370858752,38093.5328758212
OMN,Oman,5106622,15343.0435000855
OSS,Other small states,31941786,11809.8894197864
PSS,Pacific island small states,2528958,3626.29058943536
PAK,Pakistan,220892331,1193.73339713731
PLW,Palau,18092,14907.777345703
PAN,Panama,4314768,12269.0489963771
PNG,Papua New Guinea,8947027,2636.8002494333
PRY,Paraguay,7132530,4949.74970033259
PER,Peru,32971846,6126.87453978867
PHL,Philippines,109581085,3298.8298514292
POL,Poland,37950802,15656.1827308666
PRT,Portugal,10305564,22437.0780093552
PST,Post-demographic dividend,1115116448,44343.1015236558
PRE,Pre-demographic dividend,970795671,1344.07153773372
PRI,Puerto Rico,3194034,32290.9211360931
QAT,Qatar,2881060,50805.4635677532
ROU,Romania,19286123,12896.0886211622
RUS,Russian Federation,144104080,10126.7217935297
RWA,Rwanda,12952209,797.855554346228
WSM,Samoa,198410,4067.47262951152
SMR,San Marino,33938,47731.2085399347
STP,Sao Tome and Principe,219161,2157.84044569668
SAU,Saudi Arabia,34813867,20110.3161923744
SEN,Senegal,16743930,1487.7573088192
SRB,Serbia,6908224,7666.24447595921
SYC,Seychelles,98462,11425.0929292519
SLE,Sierra Leone,7976985,484.521267483585
SGP,Singapore,5685807,59797.7521801188
SXM,Sint Maarten (Dutch part),40812,29160.1038110689
SVK,Slovak Republic,5458827,19156.8896116995
SVN,Slovenia,2100126,25517.33066526
SST,Small states,41913035,10854.9833346953
SLB,Solomon Islands,686878,2258.40036455455
SOM,Somalia,15893219,309.415454618032
ZAF,South Africa,59308690,5090.71502455292
SAS,South Asia,1856882402,1804.91762262971
TSA,South Asia (IDA & IBRD),1856882402,1804.91762262971
SSD,South Sudan,11193729,1119.65143716565
ESP,Spain,47351567,27063.1939180299
LKA,Sri Lanka,21919000,3682.03842459282
KNA,St. Kitts and Nevis,53192,17435.9274299115
LCA,St. Lucia,183629,9276.11782856052
VCT,St. Vincent and the Grenadines,110947,7297.9123498741
SSF,Sub-Saharan Africa,1136046775,1485.50019399047
TSS,Sub-Saharan Africa (IDA & IBRD countries),1136046775,1485.50019399047
SSA,Sub-Saharan Africa (excluding high income),1135948313,1484.6406363922
SDN,Sudan,43849269,595.467833007679
SUR,Suriname,586634,6491.13906538498
SWE,Sweden,10353442,52259.2973756664
CHE,Switzerland,8636896,87097.0364503764
SYR,Syrian Arab Republic,17500657,2032.62318256619
TJK,Tajikistan,9537642,859.137961121368
TZA,Tanzania,59734213,1076.47038455352
THA,Thailand,69799978,7189.04183501668
TLS,Timor-Leste,1318442,1381.17566036276
